#;region;lat;lng;price_by_meter;residents;occupied_private_housing;residents_per_household;delegacy;hospital;ubs;upa;school;market;shopping;university;bank
51;Sudeste;-23.143691014634147;-46.48765187398373;5857.142857142857;8049;2356;3.4;0;0;1;0;3;0;0;0;1
52;Sudeste;-23.143691014634147;-46.48765187398373;3484.960582171013;2167;615;3.5;0;0;0;0;0;0;0;0;0
53;Sudeste;-23.143691014634147;-46.48765187398373;2347.8260869565215;4244;1217;3.5;0;0;0;0;0;0;0;0;0
54;Sudeste;-23.143691014634147;-46.48765187398373;1544.34250764526;2356;651;3.6;0;0;0;0;0;0;0;0;0
55;Sudeste;-23.143691014634147;-46.48765187398373;4087.1288798920377;3177;854;3.7;0;0;0;0;0;2;0;0;0
56;Sudeste;-23.143691014634147;-46.48765187398373;563.063063063063;294;92;3.2;0;0;1;0;0;1;0;0;0
57;Sudeste;-23.143691014634147;-46.48765187398373;1428.5714285714287;1653;455;3.6;0;0;0;0;1;0;0;0;0
58;Sudeste;-23.143691014634147;-46.48765187398373;2730.769230769231;5187;1408;3.7;0;0;0;0;0;1;0;0;0
59;Norte;-23.143691014634147;-46.48765187398373;1250.0;740;221;3.3;0;0;1;0;2;0;0;0;0
60;Norte;-23.143691014634147;-46.48765187398373;3306.6512722459183;3762;1098;3.4;0;0;1;0;1;0;0;0;0
61;Norte;-23.143691014634147;-46.48765187398373;3257.5936883629192;1287;384;3.4;0;0;0;0;1;2;0;0;0
62;Norte;-23.143691014634147;-46.48765187398373;4773.954116059379;3660;1018;3.6;0;0;0;0;0;0;0;0;0
63;Norte;-23.143691014634147;-46.48765187398373;1882.7319587628865;3434;1036;3.3;0;1;0;1;1;0;0;0;0
64;Norte;-23.143691014634147;-46.48765187398373;1458.3333333333333;4767;1440;3.3;0;0;0;0;1;0;0;0;0
65;Norte;-23.143691014634147;-46.48765187398373;4071.4285714285716;1113;306;3.6;0;0;0;0;0;0;0;0;0
66;Norte;-23.143691014634147;-46.48765187398373;3018.867924528302;15725;4354;3.6;0;0;2;0;0;2;0;0;0
67;Norte;-23.143691014634147;-46.48765187398373;1216.931216931217;846;246;3.4;0;0;0;0;0;0;0;0;0
68;Norte;-23.143691014634147;-46.48765187398373;2067.850194552529;1413;447;3.2;1;0;0;0;2;0;0;1;4
69;Norte;-23.143691014634147;-46.48765187398373;5489.473684210527;3759;1168;3.2;0;0;0;0;0;0;0;0;0
70;Norte;-23.143691014634147;-46.48765187398373;3928.5714285714284;1835;602;3.0;0;0;0;0;0;0;0;0;0
71;Norte;-23.143691014634147;-46.48765187398373;6858.956428187197;4435;1503;3.0;0;0;0;0;0;1;0;0;1
72;Norte;-23.143691014634147;-46.48765187398373;353.28184409191897;3297;920;3.6;0;0;0;0;0;0;0;0;0
73;Centro;-23.143691014634147;-46.48765187398373;1283.8709677419354;2787;951;2.9;0;0;0;0;0;0;0;0;0
74;Centro;-23.143691014634147;-46.48765187398373;10792.484377941742;7065;2227;3.2;0;0;1;0;1;0;0;0;0
75;Centro;-23.143691014634147;-46.48765187398373;2239.6140972632406;6486;1945;3.3;0;0;0;0;5;1;0;0;6
76;Centro;-23.143691014634147;-46.48765187398373;2562.5;4724;1407;3.4;1;0;1;0;0;2;0;0;3
77;Centro;-23.143691014634147;-46.48765187398373;2564.885496183206;1767;484;3.6;0;0;0;0;0;0;0;0;0
